run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_094_l1-1e-06_beta0.0001_alpha0.1_trav500_blk1_temp0.0001,1175.9178466796875,13120,1003.745361328125,9648,735.9868774414062,1672
run_095_l1-1e-06_beta0.0001_alpha0.1_trav500_blk1_temp1.0,4340.76171875,13300,4795.7705078125,9996,3236.607177734375,1697
run_096_l1-1e-06_beta0.001_alpha0.01_trav500_blk1_temp0.0001,2612.26318359375,13160,1946.896484375,9765,2298.60498046875,1662
run_097_l1-1e-06_beta0.001_alpha0.01_trav500_blk1_temp1.0,4277.8603515625,13300,4659.1708984375,9992,2979.93505859375,1698
run_098_l1-1e-06_beta0.001_alpha0.03_trav500_blk1_temp0.0001,2853.9765625,13138,2265.837890625,9664,2157.05126953125,1656
run_099_l1-1e-06_beta0.001_alpha0.03_trav500_blk1_temp1.0,4252.94189453125,13300,4590.84375,9975,3249.718505859375,1693
run_1000_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp0.1,342.0069580078125,12852,433.2234802246094,9500,113.17340850830078,1649
run_1001_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp0.1_eps-0.01,338.4648132324219,12862,406.0397033691406,9506,130.8821563720703,1645
run_1002_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp1.0,294.44500732421875,12803,379.75408935546875,9457,121.61680603027344,1635
run_1003_l1-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp1.0_eps-0.01,335.2439880371094,12806,391.23223876953125,9445,116.13652038574219,1621
run_1004_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,335.6629638671875,12812,335.1304016113281,9515,95.19762420654297,1639
run_1005_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.0001_eps-0.01,338.15045166015625,8472,377.5048828125,8649,75.93180847167969,1259
run_1006_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.001,385.87078857421875,12789,347.9229736328125,9562,99.20252990722656,1646
run_1007_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.001_eps-0.01,338.748779296875,12900,304.6922302246094,9545,86.51454162597656,1647
run_1008_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.01,275.4181213378906,12798,327.96002197265625,9425,111.22761535644531,1631
run_1009_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.01_eps-0.01,367.0629577636719,12897,377.7489013671875,9532,115.00587463378906,1635
run_100_l1-1e-06_beta0.001_alpha0.1_trav500_blk1_temp0.0001,3791.980224609375,13275,3884.02001953125,9903,2812.666748046875,1613
run_1010_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.1,283.89044189453125,12778,324.77752685546875,9407,122.38956451416016,1608
run_1011_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.1_eps-0.01,287.7306213378906,12780,334.3651428222656,9461,123.90107727050781,1628
run_1012_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp1.0,314.0859375,12818,396.86968994140625,9449,109.12403106689453,1634
run_1013_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp1.0_eps-0.01,309.72503662109375,12818,359.16162109375,9471,121.78780364990234,1644
run_1014_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.0001,171.63819885253906,9117,216.97825622558594,8653,68.20259857177734,1184
run_1015_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.0001_eps-0.01,218.79832458496094,10701,244.46583557128906,9175,103.04295349121094,1500
run_1016_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.001,325.95697021484375,12699,308.2556457519531,9432,119.85884857177734,1627
run_1017_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.001_eps-0.01,468.5583190917969,12797,350.7723083496094,9430,95.75504302978516,1634
run_1018_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.01,313.1694641113281,12858,450.4375,9555,109.72174072265625,1658
run_1019_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.01_eps-0.01,306.85064697265625,12669,371.9456787109375,9505,125.67345428466797,1620
run_101_l1-1e-06_beta0.001_alpha0.1_trav500_blk1_temp1.0,3995.125732421875,13299,4720.1953125,9997,2930.145263671875,1695
run_1020_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.1,370.7743835449219,12844,407.136962890625,9496,127.763916015625,1630
run_1021_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.1_eps-0.01,295.5982666015625,12794,385.0464172363281,9505,113.15948486328125,1634
run_1022_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp1.0,379.5908508300781,12829,395.9892578125,9432,129.55186462402344,1637
run_1023_l1-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp1.0_eps-0.01,290.6814270019531,12840,329.6172180175781,9423,116.39738464355469,1640
