density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.5269027981106174,0.5269027981106174,0.5331238071910065,0.5822665817713941,1.4596055277301256,-0.019209711171716437,0.37830628725726456,Subj_721,HCPya,34.0
0.135,0.5728079021753039,0.5728079021753039,0.5704140693795199,0.6140404616629263,1.309612246240308,-0.06363424338072698,0.3041539322354638,Subj_722,HCPya,27.0
0.135,0.5882746576716865,0.5882746576716865,0.5931311926738128,0.5909939331884319,1.290485599732242,-0.0803165383355563,0.3244319186228185,Subj_723,HCPya,29.0
0.135,0.6202109436448363,0.6202109436448363,0.6203915027434852,0.612519177085777,1.2535901696401999,-0.15103732882731236,0.23969009625638968,Subj_724,HCPya,23.0
0.135,0.5450882958851591,0.5450882958851591,0.535126220579663,0.6183180683385618,1.3800971368495663,-0.10314240693109122,0.34448272200159485,Subj_725,HCPya,22.0
0.135,0.5609614412229108,0.5609614412229108,0.5653642207105515,0.6360830168380049,1.409614547326546,-0.05809691228229752,0.2850855851412688,Subj_726,HCPya,26.0
0.135,0.5699979339601777,0.5699979339601777,0.5716130110558023,0.636125373870549,1.4257209165030866,-0.13358571124106666,0.3427914550609498,Subj_727,HCPya,29.0
0.135,0.5392442964589398,0.5392442964589398,0.5384437571667136,0.5645463216827737,1.413722646513926,-0.04973585946984449,0.31564144917622433,Subj_728,HCPya,25.0
0.135,0.5339570135879655,0.5339570135879655,0.5331812068509544,0.6019823542717813,1.4385747996280145,-0.07774688316187284,0.34734444690651695,Subj_729,HCPya,33.0
0.135,0.5864679489761909,0.5864679489761909,0.5869253071013972,0.6058415362237317,1.4200778682451864,-0.11512366024115861,0.33506267568497017,Subj_730,HCPya,27.0
0.135,0.5216254775115732,0.5216254775115732,0.5365239349811092,0.6049471388675703,1.530452388206902,-0.03948069638483653,0.30416780829793433,Subj_731,HCPya,26.0
0.135,0.587570112729833,0.587570112729833,0.5901086679581051,0.5856340792566223,1.3990017842379825,-0.08924964019270332,0.29840930609719085,Subj_732,HCPya,28.0
