"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",4,13,2,37,1,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",4,15,0,38,0,0.0780719051126377,2,1.92192809488736
"MPI",4,15,1,39,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",5,0,0,1,0,0.0780719051126377,2,1.92192809488736
"MPI",5,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",5,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",5,0,3,4,1,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",5,1,0,5,0,0.0780719051126377,2,1.92192809488736
"MPI",5,1,1,6,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",5,1,2,7,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",5,1,3,8,1,0.0148736716970261,1.22239242133645,1.75
"MPI",5,3,0,9,0,0.0780719051126377,2,1.92192809488736
"MPI",5,3,1,10,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",5,3,2,11,1,0.0147718639657485,1,1.66449777920046
"MPI",5,4,0,12,0,0.0780719051126377,2,1.92192809488736
"MPI",5,4,1,13,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",5,4,2,14,0,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",5,4,3,15,0,0.0148736716970261,1.22239242133645,1.75
"MPI",5,4,4,16,0,0.00892394016177786,1,1.65774272650489
"MPI",5,4,5,17,1,0.00581755005522627,0.84799690655495,1.57095059445467
"MPI",5,5,0,18,0,0.0780719051126377,2,1.92192809488736
"MPI",5,5,1,19,0,0.0702989274995393,2.32192809488736,1.91829583405449
