run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_2559_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp0.005_eps-0.01,0.9398971296211207,0.9988575470099886,0.03225806451612903,1,30,0.013801734457720313,-0.03795080634574967,-2.7497128322535596,-72.4546616270122,0.13149240034409934,20904.358647739566,True,600000,50000,4077151,0.2,0.01,0.005,,50.0
run_2566_dist-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.005,0.9415756250392348,0.7979942516639845,0.00014283673760891302,1,7000,0.032624405629845095,-0.09069002375881541,-2.7798214866434647,-30.651899419899042,0.1357058339287239,20614.19780305862,True,600000,50000,3432451,0.03,0.0001,0.005,,50.0
run_2573_dist-0.0001_beta0.0001_alpha0.2_trav50_blk1_temp0.003_eps-0.01,0.9859295933256549,0.9622513450454855,0.125,1,7,0.01779880133441649,-0.07563620510691814,-4.249511171331795,-56.18355872461811,0.13327843801945302,7185.25511552891,True,600000,50000,1632251,0.2,0.0001,0.003,,50.0
run_2580_dist-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.003,0.9815669671252524,0.29121201426767673,0.125,1,7,0.03185345428380878,-0.12661766937520172,-3.9750059207726784,-31.393769450878782,0.09841555585096583,10077.486531075576,True,600000,50000,1966101,0.03,0.001,0.003,,50.0
run_2588_dist-0.0001_beta0.001_alpha0.2_trav50_blk1_temp0.003,0.9200627157130743,0.999782636348985,0.002849002849002849,1,350,0.01271479322414588,-0.03106477589041038,-2.4431994561592383,-78.64854601811075,0.13839345872595546,23917.924410062496,True,600000,50000,4403151,0.2,0.001,0.003,,50.0
run_2595_dist-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.005_eps-0.01,0.9879021781297728,0.006679789396824787,0.2857142857142857,2,5,0.1330391080035647,-0.5857124234692414,-4.402558257182148,-7.516586776673259,0.03674362019504065,6634.49808045457,True,600000,50000,1002851,0.01,0.003,0.005,,50.0
run_2602_dist-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.005,0.8825259055563818,0.9999237242827116,0.001996007984031936,1,500,0.013666823166317937,-0.027560109783549013,-2.0165703066584824,-73.16989382466826,0.15737642096214693,28627.671867042045,True,600000,50000,5798951,0.1,0.003,0.005,,50.0
run_260_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.001_eps-0.01,0.9948785264074873,0.19390695986071327,0.0196078431372549,1,50,0.04278114220060156,-0.22542147199422857,-5.269178437013747,-23.374784976777423,0.16449613530916954,3553.614821472308,True,600000,50000,984451,0.03,0.001,0.001,1e-05,50.0
run_2617_dist-0.0001_beta0.01_alpha0.1_trav50_blk1_temp0.003_eps-0.01,0.9783475520273811,0.9440146208297334,0.0625,1,15,0.017377011168607633,-0.0662193837734158,-3.8107464586915927,-57.547295694126376,0.11531987573640447,11239.937512215061,True,600000,50000,2165451,0.1,0.01,0.003,,50.0
run_2624_dist-0.0005_beta0.0001_alpha0.01_trav50_blk1_temp0.003,0.9865623914651325,0.06573024716681408,0.0625,1,15,0.16100915414377784,-0.6917225666755688,-4.296169185870481,-6.210826988799784,0.27087887431137914,7256.473725244751,True,600000,50000,1083601,0.01,0.0001,0.003,,50.0
run_2631_dist-0.0005_beta0.0001_alpha0.03_trav50_blk1_temp0.005_eps-0.01,0.9832749942394466,0.451691901543959,0.00014283673760891302,1,7000,0.04564318774142181,-0.1859496111164632,-4.073983880571764,-21.909074485884048,0.17716687742382567,8923.207017942144,True,600000,50000,1613251,0.03,0.0001,0.005,,50.0
run_2639_dist-0.0005_beta0.0001_alpha0.2_trav50_blk1_temp0.005_eps-0.01,0.9703934759726706,0.8523792333363706,0.25,1,3,0.017563950256294095,-0.06129303824617915,-3.489706891205445,-56.934800281710366,0.09211188459002377,14441.998938904404,True,600000,50000,2860101,0.2,0.0001,0.005,,50.0
run_2646_dist-0.0005_beta0.001_alpha0.03_trav50_blk1_temp0.005,0.9416716554327551,0.7536878273791482,0.0006662225183211193,1,1500,0.036671638676666826,-0.10200467472270167,-2.7815684928092534,-27.26902958487844,0.1432635940835435,20836.07134366723,True,600000,50000,3423351,0.03,0.001,0.005,,50.0
run_2653_dist-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.003_eps-0.01,0.9866238175646896,0.8249999192669009,0.3333333333333333,1,2,0.014319720129545202,-0.06158644041279517,-4.30081313431027,-69.8337670676082,0.0837944196514547,7830.860131353818,True,600000,50000,1824901,0.2,0.001,0.003,,50.0
run_2660_dist-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.003,0.970669523837974,0.8498693806555135,0.006622516556291391,1,150,0.03450636424307404,-0.12075015443070176,-3.4993589466597657,-28.98016125244825,0.18061316999988414,13089.939232812783,True,600000,50000,2250851,0.03,0.003,0.003,,50.0
run_2668_dist-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.003,0.9183281300003543,0.9994901609900161,0.006622516556291391,1,150,0.012630628199728355,-0.030564164172222855,-2.4198451327132084,-79.17262579398124,0.12641537329984806,23737.654742346636,True,600000,50000,4540751,0.2,0.003,0.003,,50.0
run_2675_dist-0.0005_beta0.01_alpha0.01_trav50_blk1_temp0.005_eps-0.01,0.9927290847196204,8.070604294807548e-05,0.000434593654932638,1,2300,36.93031910019828,-181.57070652245824,-4.9165756198809385,-0.027078022187862195,0.20646057105171037,4303.05045181142,True,600000,50000,811051,0.01,0.01,0.005,,50.0
run_2682_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005,0.8568468826284747,0.9999435646037954,0.002849002849002849,1,350,0.01316972780803945,-0.023565179067098898,-1.7893444276588277,-75.93171359164695,0.1527587651085606,30892.263215677038,True,600000,50000,6690251,0.1,0.01,0.005,,50.0
run_268_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.01_eps-0.01,0.871874967071201,0.9986370803586669,0.00028563267637817766,1,3500,0.016032833112006616,-0.030745192795380967,-1.917639420344032,-62.37200830407966,0.13685343542443884,30625.547215492865,True,600000,50000,5972451,0.1,0.001,0.01,1e-05,50.0
run_2697_l1-1e-06_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,0.9412682051324724,0.9959157182014474,0.00014283673760891302,1,7000,0.015162605906648127,-0.042064812280227744,-2.774246889961322,-65.95172400817623,0.1254657290122525,19766.650885749514,True,600000,50000,30767001,0.1,0.0001,0.003,1e-06,500.0
run_2704_l1-1e-06_beta0.001_alpha0.01_trav500_blk1_temp0.003,0.6326978984332545,0.9072663409871984,0.00014283673760891302,1,7000,0.04866151410568372,-0.026462539158558215,-0.5438083800904041,-20.55012094009625,0.1534396711345193,52503.56104929112,True,600000,50000,111484001,0.01,0.001,0.003,1e-06,500.0
run_2711_l1-1e-06_beta0.001_alpha0.03_trav500_blk1_temp0.005_eps-0.01,0.8933038721380333,0.9521095275201213,0.00014283673760891302,1,7000,0.026894746346006883,-0.05714977441301524,-2.124941937647253,-37.18198294695841,0.13797805249318168,29197.25231011579,True,600000,50000,45648501,0.03,0.001,0.005,1e-06,500.0
run_2719_l1-1e-06_beta0.001_alpha0.2_trav500_blk1_temp0.005_eps-0.01,0.8289081121339632,0.9999851896935112,0.000434593654932638,1,2300,0.012160196861137893,-0.019187678463776916,-1.5779085390548049,-82.23551077498138,0.15491851425559192,33617.8860055921,True,600000,50000,65990001,0.2,0.001,0.005,1e-06,500.0
run_2726_l1-1e-06_beta0.003_alpha0.03_trav500_blk1_temp0.005,0.6417252278197907,0.9976097627625442,0.00014283673760891302,1,7000,0.023050835731557674,-0.01343541025187726,-0.5828600059599381,-43.38237500998513,0.15879767263762629,45583.16713034719,True,600000,50000,108541501,0.03,0.003,0.005,1e-06,500.0
run_2733_l1-1e-06_beta0.003_alpha0.2_trav500_blk1_temp0.003_eps-0.01,0.912910931216479,0.9998281227580343,0.009900990099009901,1,100,0.011030465545458957,-0.02591836150530726,-2.349706945594638,-90.65800494809413,0.12163655737645102,25614.62020532786,True,600000,50000,42468501,0.2,0.003,0.003,1e-06,500.0
run_2740_l1-1e-06_beta0.01_alpha0.03_trav500_blk1_temp0.003,0.6476235425135423,0.9990110216971895,0.00014283673760891302,1,7000,0.020566196717101755,-0.012516782475012988,-0.6086094890167367,-48.62347733786156,0.16013108378375682,45058.038696446114,True,600000,50000,106283001,0.03,0.01,0.003,1e-06,500.0
run_2748_l1-1e-06_beta0.01_alpha0.2_trav500_blk1_temp0.003,0.5856988155429286,0.9999992113556381,0.00014283673760891302,1,7000,0.010342267473304015,-0.0035806220995652474,-0.34621248278559136,-96.69059542128946,0.15311590799196786,40786.26032490867,True,600000,50000,117776001,0.2,0.01,0.003,1e-06,500.0
