run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,norm_dist_network,cohort
run_653_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,653,0.003,0.01,1.0,Distance,1e-05,500,-0.01,0.8596212300881947,C-both
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,617,0.0001,0.01,1.0,Distance,1e-05,500,-0.01,0.88915760409275,C-both
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,157,0.003,0.01,1.0,Distance,1e-05,500,0.0,0.8821008748037151,C-both
run_1935_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,1935,0.001,0.2,1.0,Distance,1e-05,500,-0.01,0.8389104195404775,C-both
run_1220_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp1.0,1220,0.01,0.1,1.0,Distance,1e-05,50,0.0,0.8605952457012493,C-both
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,69,0.003,0.03,1.0,Distance,1e-05,50,0.0,0.8785407450587237,C-both
run_1221_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp1.0_eps-0.01,1221,0.01,0.1,1.0,Distance,1e-05,50,-0.01,0.8457334008215396,C-both
run_647_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,647,0.001,0.1,1.0,Distance,1e-05,500,-0.01,0.8657788888435215,C-both
run_1919_dist-1e-05_beta0.0001_alpha0.2_trav500_blk1_temp1.0_eps-0.01,1919,0.0001,0.2,1.0,Distance,1e-05,500,-0.01,0.8427487316058302,C-both
run_1210_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0,1210,0.01,0.03,1.0,Distance,1e-05,50,0.0,0.852560932459177,C-both
run_1191_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0_eps-0.01,1191,0.003,0.2,1.0,Distance,1e-05,50,-0.01,0.8460644575767482,C-both
run_1210_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0,1210,0.01,0.03,1.0,Distance,1e-05,50,0.0,0.852560932459177,C-both
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,629,0.0001,0.1,1.0,Distance,1e-05,500,-0.01,0.8568145380615448,C-both
run_1230_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp1.0,1230,0.01,0.2,1.0,Distance,1e-05,50,0.0,0.8657710978792714,C-both
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,71,0.003,0.1,1.0,Distance,1e-05,50,0.0,0.8501205254968656,C-both
run_659_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,659,0.003,0.03,1.0,Distance,1e-05,500,-0.01,0.8537232359031307,C-both
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,151,0.001,0.01,1.0,Distance,1e-05,500,0.0,0.8633636082685113,C-both
run_1190_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0,1190,0.003,0.2,1.0,Distance,1e-05,50,0.0,0.8536167130991201,C-both
