run_id,cohort,poli.dm1,poli.antidm1,poli.dlydm1,poli.antidlydm1,poli.dlyms,poli.dlynms
run_2676_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.003,H-100,0.9478012235772189,0.9091522919579058,0.6013821370025181,0.462525127382691,0.9450884954400934,0.9848935708295103
run_2678_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005,H-100,0.9525633740629014,0.9194682030538932,0.5996710560702511,0.4944473737623085,0.9745742783883846,0.9948437641376772
run_2679_dist-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,H-100,0.9163364087425304,0.8241189733320733,0.5075739824677573,0.4460633784258989,0.9312665663910608,0.9410849703582516
run_2680_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.003,H-100,0.91532030371501,0.9256360618550448,0.6039034692420826,0.5432323822516042,0.9830627662372604,0.9821121394524424
run_2682_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005,H-100,0.9646036408314992,0.9398903402529388,0.6636625728649848,0.6387735554989596,0.9980438798897042,0.9964193901822068
run_2683_dist-0.0005_beta0.01_alpha0.1_trav50_blk1_temp0.005_eps-0.01,H-100,0.8519194852102686,0.8353527435775977,0.503548570642976,0.5130793192292965,0.9014587143127358,0.9595927963341316
run_2684_dist-0.0005_beta0.01_alpha0.2_trav50_blk1_temp0.003,H-100,0.8935927448152756,0.9236037159857036,0.5692204203416786,0.5206362016595191,0.9706948398275972,0.9879454428645223
run_2945_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp0.003_eps-0.01,C-reg,0.8999847457177105,0.8490364534894167,0.6159210892581408,0.5428317138708787,0.999869363422502,0.9788892941906656
run_2953_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,C-reg,0.9514303335132552,0.8320021170051551,0.7529293418413092,0.5842509863165488,0.9832890023331524,0.988823189196913
run_2955_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,C-reg,0.9409329263513584,0.9589613021236713,0.8314964943709247,0.7150212588106865,0.9980550723937912,0.9691681507777034
